Item Name,Cuisine,Course,Nutritional Profile,Preparation Method,Spiciness Level,Vegan/Vegetarian/Contains-Egg/Non-Veg,Allergens,Flavor Profile,Dietary Restrictions
Dahi Batata Puri Chaat Recipe - Classic Indian Tea Time Snack,Indian,Snack,"Tangy, Spicy",Mixed,Spicy,Vegetarian,None,"Tangy, Spicy",None
Quick Vegetable Noodles Recipe,Asian,Main Dish,"Savory, Spicy",Cooked,Spicy,Vegan,None,"Savory, Spicy",None
Thai Yellow Curry Recipe,Thai,Main Dish,"Creamy, Flavorful",Cooked,Mild,Vegan,None,"Creamy, Flavorful",None
Creamy Mixed Vegetable Risotto Recipe,Italian,Main Dish,"Creamy, Savory",Cooked,None,Vegetarian,Dairy,"Creamy, Savory",None
Thandai Flavoured Rice Kheer Recipe,Indian,Dessert,"Sweet, Spiced",Boiled,None,Vegetarian,Dairy,"Sweet, Spiced",None
Lemongrass Coconut Rice Recipe,Thai,Side Dish,"Fragrant, Coconutty",Cooked,Mild,Vegan,None,"Fragrant, Coconutty",None
Cheese And Black Beans Quesadillas Recipe,Mexican,Main Dish,"Cheesy, Flavorful",Cooked,None,Vegetarian,Dairy,"Cheesy, Flavorful",None
Tawa Amritsari Kulcha Recipe,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
One Pot Spinach Macaroni Pasta Recipe,Italian,Main Dish,"Savory, Creamy",Cooked,None,Vegetarian,Dairy,"Savory, Creamy",None
Chilli Baby Corn (Manchurian) Recipe,Asian,Appetizer,"Spicy, Tangy",Fried,Spicy,Vegetarian,None,"Spicy, Tangy",None
Sri Lankan Pumpkin Curry Recipe - No Oil,Sri Lankan,Main Dish,"Spicy, Savory",Cooked,Spicy,Vegan,None,"Spicy, Savory",None
Asian Black Pepper Basa Fish Recipe,Asian,Main Dish,"Spicy, Flavorful",Baked,Spicy,Non-Veg,Fish,"Spicy, Flavorful",None
Nutty Oats and Berry Truffle Recipe,Western,Dessert,"Sweet, Nutty",Mixed,None,Vegetarian,Nuts,"Sweet, Nutty",None
Baked Masala Namak Para Recipe - Carom Seeds Spiced Biscuits,Indian,Snack,"Spicy, Crunchy",Baked,Spicy,Vegetarian,None,"Spicy, Crunchy",None
Chili Coriander and Capsicum Rusk Chutney Recipe,Indian,Condiment,"Spicy, Tangy",Mixed,Spicy,Vegan,None,"Spicy, Tangy",None
Millet and Jowar Paniyaram Recipe,South Indian,Breakfast,"Protein-rich, Healthy",Cooked,None,Vegetarian,None,"Savory, Healthy",None
Double Ka Meetha Recipe With Mixed Nuts Rabri,Indian,Dessert,"Sweet, Creamy",Cooked,None,Vegetarian,Nuts,"Sweet, Creamy",None
Thalipeeth Bhajani Recipe - Typical Maharashtrian Multigrain Flour Mix,Indian,Main Dish,"Healthy, Savory",Cooked,None,Vegetarian,None,"Savory, Healthy",None
Noodle Sizzler With Garlic Pepper Sauce And Baked Vegetables Recipe,Asian,Main Dish,"Spicy, Flavorful",Mixed,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Egg Muffin With Vegetables Recipe,Western,Breakfast,"Protein-rich, Healthy",Baked,None,Vegetarian,None,"Savory, Healthy",None
Sweet & Spicy Totapuri Mango Chutney Recipe,Indian,Condiment,"Sweet, Spicy",Cooked,Spicy,Vegan,None,"Sweet, Spicy",None
"Healthy Vegetable Fries Recipe (Oven roasted Potato, Zucchini and Carrot Fries)",Western,Snack,"Healthy, Crunchy",Baked,None,Vegetarian,None,"Crunchy, Healthy",None
Avarekalu Usli (Broad Bean In Gravy) Recipe,Indian,Main Dish,"Protein-rich, Spicy",Cooked,Spicy,Vegan,None,Spicy,None
Andhra Style Pulses Recipes,Indian,Main Dish,"Protein-rich, Spicy",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Sugarpare Recipe (Shankarpali),Indian,Snack,"Sweet, Crunchy",Fried,None,Vegetarian,None,"Sweet, Crunchy",None
Cashew Bunch Recipe,Indian,Dessert,"Sweet, Nutty",Mixed,None,Vegetarian,Nuts,"Sweet, Nutty",None
7 Cups Burfi Recipe,Indian,Dessert,"Sweet, Creamy",Mixed,None,Vegetarian,"Dairy, Nuts","Sweet, Creamy",None
Punjabi radish bhurji recipe,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegan,None,"Spicy, Flavorful",None
Andhra Cheese & Vegetables Pesarattu Recipe,Indian,Breakfast,"Protein-rich, Spicy",Cooked,Spicy,Vegetarian,Dairy,"Spicy, Flavorful",None
Broccoli Salad Recipe with Roasted Onion & Peppers,Western,Salad,"Fresh, Crunchy",Mixed,None,Vegan,None,"Fresh, Crunchy",None
Bihari Green Peas Bharbhara (Recipe in Hindi),Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegan,None,"Spicy, Flavorful",None
Punjabi Wadi Choliya Ki Sabzi Recipe,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegan,None,"Spicy, Flavorful",None
Mooli Raita Recipe - Radish Raita Recipe,Indian,Side Dish,"Refreshing, Spicy",Mixed,Spicy,Vegetarian,None,"Refreshing, Spicy",None
"Mexican Style Scrambled Egg Enchiladas Recipe Spinach, Apple and Walnut Salad Recipe",Mexican,Main Dish,"Flavorful, Nutty",Cooked,None,Non-Veg,Nuts,"Flavorful, Nutty",None
Bhindi With Cashews and Coconut Sabzi Recipe,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegetarian,Nuts,"Spicy, Flavorful",None
Zucchini Lasagna Recipe,Italian,Main Dish,"Cheesy, Flavorful",Baked,None,Vegetarian,Dairy,"Cheesy, Flavorful",None
Mutton Shami Kebab Recipe,Indian,Appetizer,"Spicy, Flavorful",Cooked,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Konkan Style Vali Bhajji Ambat Recipe-Spiced Malabar Spinach Dal,Indian,Main Dish,"Spicy, Tangy",Cooked,Spicy,Vegetarian,None,"Spicy, Tangy",None
Kambu Murukku (Recipe In Hindi),Indian,Snack,"Crunchy, Savory",Fried,None,Vegetarian,None,"Crunchy, Savory",None
Garlic Naan Without Yeast Recipe,Indian,Bread,"Savory, Garlicky",Baked,None,Vegetarian,None,"Savory, Garlicky",None
Coconut Ladoo Stuffed With Pistachios Recipe,Indian,Dessert,"Sweet, Nutty",Mixed,None,Vegetarian,Nuts,"Sweet, Nutty",None
Whole Wheat Buttermilk Vanilla Waffles Recipe,Western,Breakfast,"Sweet, Fluffy",Baked,None,Vegetarian,Dairy,"Sweet, Fluffy",None
Avocado Parsley Pasta Salad Recipe,Western,Salad,"Fresh, Creamy",Mixed,None,Vegetarian,None,"Fresh, Creamy",None
Coleslaw Salad on Sliced Apple Recipe,Western,Salad,"Crunchy, Refreshing",Mixed,None,Vegetarian,None,"Crunchy, Refreshing",None
Arbi Ka Saag Recipe,Indian,Main Dish,"Spicy, Savory",Cooked,Spicy,Vegan,None,"Spicy, Savory",None
Waffled Falafels and Vegetables Recipe,Middle Eastern,Main Dish,"Savory, Crunchy",Baked,None,Vegetarian,None,"Savory, Crunchy",None
Butter Garlic Naan Recipe - Garlic Flavoured Flatbread,Indian,Bread,"Savory, Garlicky",Baked,None,Vegetarian,None,"Savory, Garlicky",None
Garlic Dal Recipe,Indian,Main Dish,"Savory, Garlicky",Cooked,Spicy,Vegetarian,None,"Savory, Garlicky",None
Recipe Shape Recipe,Western,Dessert,"Sweet, Nutty",Mixed,None,Vegetarian,Nuts,"Sweet, Nutty",None
Brinjal Methi Bharta Recipe With Pomagrams,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegan,None,"Spicy, Flavorful",None
Spicy Neer Dosa Recipe,Indian,Main Dish,"Spicy, Savory",Cooked,Spicy,Vegetarian,None,"Spicy, Savory",None
Spaghetti Pasta In Green Olive Pesto Sauce Recipe,Italian,Main Dish,"Flavorful, Savory",Cooked,None,Vegetarian,None,"Flavorful, Savory",None
Tomato Onion Vegetable Recipe - Tomato Onion Vegetable,Indian,Main Dish,"Spicy, Savory",Cooked,Spicy,Vegan,None,"Spicy, Savory",None
Rajasthani Style Oliya Recipe (Sweetened Rice Yogurt Pudding Recipe),Indian,Dessert,"Sweet, Creamy",Mixed,None,Vegetarian,Dairy,"Sweet, Creamy",None
Mexican Style Vegetarian Chimichanga Recipe-Deep Fried Burrito,Mexican,Main Dish,"Crunchy, Flavorful",Fried,None,Vegetarian,None,"Crunchy, Flavorful",None
Surti Obbattu Recipe - Fruit & Nut Pooris In Saffron Milk,Indian,Dessert,"Sweet, Nutty",Mixed,None,Vegetarian,Nuts,"Sweet, Nutty",None
Togarikalu Akki Recipe - Karnataka Style Rice Rava Upma with Fresh Pigeon Peas,Indian,Breakfast,"Healthy, Savory",Cooked,None,Vegetarian,None,"Savory, Healthy",None
Easy Potato Kurma Recipe,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegan,None,"Spicy, Flavorful",None
Suva Methi Baingan Sabzi Recipe (Eggplant in Dill and Methi leaves Curry Recipe),Indian,Main Dish,"Nutrient-rich, Flavorful",Cooked,Spicy,Vegetarian,None,Flavorful,None
Matki Chi Rassa Bhaji Recipe (Maharashtrian Style Moth Beans Cooked with Goda Masala),Indian,Main Dish,"Protein-rich, Spicy",Cooked,Spicy,Vegetarian,None,Spicy,None
Cream Cheese Swirl Brownies Recipes,Western,Dessert,"Rich, Indulgent",Baked,None,Vegetarian,Dairy,"Rich, Indulgent",None
Aloo Amritsari (Recipe In Hindi),Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Karela Aur Baingan Ki Sabzi Recipe - Bitter Gourd Brinjal Sabzi,Indian,Main Dish,"Spicy, Bitter",Cooked,Spicy,Vegetarian,None,"Spicy, Bitter",None
Greek Style Briami Recipe (Simple Vegetable Stew Recipe),Greek,Main Dish,"Flavorful, Nutrient-rich",Cooked,None,Vegetarian,None,Flavorful,None
South Indian Style Sorakkai Kootu Recipe - Bottle Gourd Cooked with Lentils,Indian,Main Dish,"Comforting, Protein-rich",Cooked,None,Vegetarian,None,Comforting,None
Tattha Poyaru Sambar Recipe - Black Eyed Beans Sambar,Indian,Main Dish,"Flavorful, Protein-rich",Cooked,Spicy,Vegetarian,None,Flavorful,None
Wheat Rava Halwa Recipe,Indian,Dessert,"Sweet, Nutty",Cooked,None,Vegetarian,Nuts,"Sweet, Nutty",None
Kerala Style Vedakkai Pachadi Recipe - Kerala Style Vendakkai Pachadi (Recipe in Hindi),Indian,Side Dish,"Tangy, Flavorful",Mixed,None,Vegetarian,None,"Tangy, Flavorful",None
Jaggery Sweetened Apple Oatmeal Recipe,Western,Breakfast,"Nutrient-rich, Sweet",Mixed,None,Vegetarian,None,"Sweet, Nutty",None
Vegetable Fried Mug Pulses Recipe - Bengali Style Mong Dal With Binta Vegetables,Indian,Main Dish,"Protein-rich, Spicy",Cooked,Spicy,Vegetarian,None,Spicy,None
Breakfast Bar Recipe With Berries Quinoa & Oats,Western,Breakfast,"Nutrient-rich, Sweet",Mixed,None,Vegetarian,None,"Sweet, Nutty",None
Rajasthani Ghasela Recipe (Besan Ka Pitta),Indian,Snack,"Spicy, Savory",Fried,Spicy,Vegetarian,None,"Spicy, Savory",None
Zucchini And Bell Pepper Stir Fry Recipe,Western,Main Dish,"Flavorful, Savory",Cooked,None,Vegetarian,None,"Flavorful, Savory",None
Haldi Ki Sabzi Recipe,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Erode Pallipalayam Chicken Fry Recipe,Indian,Main Dish,"Spicy, Flavorful",Fried,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Cauliflower Coconut Milk Stew (Recipe In Hindi),Indian,Main Dish,"Creamy, Flavorful",Cooked,None,Vegetarian,None,"Creamy, Flavorful",None
Oven Baked Sweet Potato Fries Recipe,Western,Side Dish,"Crunchy, Flavorful",Baked,None,Vegetarian,None,"Crunchy, Flavorful",None
Raw Mango and Cucumber Salad Recipe - Raw Mango Cucumber Salad Recipe,Indian,Salad,"Refreshing, Tangy",Mixed,None,Vegetarian,None,"Refreshing, Tangy",None
Kesar Shahi Tukda With Rabdi Recipe (Saffron Bread Pudding With Spiced Milk Custard),Indian,Dessert,"Rich, Indulgent",Mixed,None,Vegetarian,Dairy,"Rich, Indulgent",None
"Potato Bodi Fry Recipe (Spicy Potato Sabji Prem Tamil Nadu) Mango, Avocado And Chickpea Salad Recipe",Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
"Mung Bean & Tofu Salad Recipe With Sweet Potatoes, Cucumbers & Tomatoes",Western,Salad,"Protein-rich, Refreshing",Mixed,None,Vegetarian,None,"Refreshing, Protein-rich",None
Begun Basanti Recipe - Eggplant In Mustard Yogurt Curry,Indian,Main Dish,"Tangy, Flavorful",Cooked,Spicy,Vegetarian,None,"Tangy, Flavorful",None
Badshahi Chicken Recipe,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Vegetarian Pot Pie Recipe,Western,Main Dish,"Comforting, Savory",Baked,None,Vegetarian,None,"Comforting, Savory",None
Sweet Potato And Broccoli Sabzi Recipe,Indian,Main Dish,"Nutrient-rich, Flavorful",Cooked,Spicy,Vegetarian,None,Flavorful,None
Alfredo Spaghetti with Roasted Mushroom & Broccoli Recipe,Western,Main Dish,"Creamy, Flavorful",Cooked,None,Vegetarian,Dairy,"Creamy, Flavorful",None
Andhra Style Mirapakaya Bajji Recipe - Stuffed Chilli Recipe,Indian,Snack,"Spicy, Flavorful",Fried,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Pudina Quinoa Recipe,Indian,Main Dish,"Refreshing, Flavorful",Cooked,None,Vegetarian,None,"Refreshing, Flavorful",None
Sprouted Ragi Chicken Cutlet Recipe,Indian,Main Dish,"Protein-rich, Flavorful",Fried,None,Non-Veg,None,"Flavorful, Protein-rich",None
Homemade Ice-Cream Cake Recipe,Western,Dessert,"Indulgent, Sweet",Baked,None,Vegetarian,Dairy,"Indulgent, Sweet",None
One Pot Pav Bhaji Recipe Using Preethi Electric Pressure Cooker,Indian,Main Dish,"Flavorful, Comforting",Cooked,Spicy,Vegetarian,None,"Flavorful, Comforting",None
Cuban Black Bean Salad Recipe,Cuban,Salad,"Protein-rich, Flavorful",Mixed,None,Vegetarian,None,"Flavorful, Protein-rich",None
Kollu Masala Dosa Recipe - High Protein Horse Gram Dosa,Indian,Breakfast,"Protein-rich, Flavorful",Cooked,Spicy,Vegetarian,None,"Flavorful, Protein-rich",None
Bengali Style Shak Bhaja Recipe - Stir Fried Green Amaranth Leaves (Recipe in Hindi),Indian,Side Dish,"Flavorful, Savory",Cooked,None,Vegetarian,None,"Flavorful, Savory",None
Kashmiri Style Haak T Thool Recipe - Greens Cooked With Eggs,Indian,Main Dish,"Comforting, Flavorful",Cooked,None,Vegetarian,None,"Comforting, Flavorful",None
Savoury Baked Arbi Chips Recipe,Indian,Snack,"Crunchy, Savory",Baked,None,Vegetarian,None,"Crunchy, Savory",None
Gujarati Vaghareli Mag Recipe - Whole Green Moong Dal Sabzi Recipe,Indian,Main Dish,"Flavorful, Protein-rich",Cooked,Spicy,Vegetarian,None,"Flavorful, Protein-rich",None
Gujarati Adadiya Ladwa Recipe - Urad Dal Halwa with Nuts & Spices,Indian,Dessert,"Nutty, Sweet",Cooked,None,Vegetarian,Nuts,"Nutty, Sweet",None
Mung Bean Sprouts Salad Recipe With Brussel Sprouts and Pomegranate,Indian,Salad,"Refreshing, Nutrient-rich",Mixed,None,Vegetarian,None,"Refreshing, Nutrient-rich",None
Almond Pottukathalai No Recipe - No Almond Chana Dal,Indian,Snack,"Nutty, Crunchy",Mixed,None,Vegetarian,Nuts,"Nutty, Crunchy",None
Konkani Style Sol Kadhi Recipe - Kokum Flavored Coconut Curry,Indian,Side Dish,"Tangy, Refreshing",Mixed,None,Vegetarian,None,"Tangy, Refreshing",None
Kokum Saar Recipe - Traditional Maharashtrian Kokum Drink,Indian,Beverage,"Tangy, Refreshing",Mixed,None,Vegetarian,None,"Tangy, Refreshing",None
Lemon Oats Recipe,Western,Breakfast,"Tangy, Nutty",Cooked,None,Vegetarian,None,"Tangy, Nutty",None
Marrakesh Vegetable Curry Recipe,Moroccan,Main Dish,"Flavorful, Comforting",Cooked,Spicy,Vegetarian,None,"Flavorful, Comforting",None
Chilli Cheese Paratha Recipe,Indian,Main Dish,"Spicy, Cheesy",Cooked,Spicy,Vegetarian,Dairy,"Spicy, Cheesy",None
Chicken Sholay Kebab Recipe,Indian,Appetizer,"Spicy, Flavorful",Grilled,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Moolangi Tovve Recipe - Moolangi Tavve Recipe,Indian,Main Dish,"Flavorful, Comforting",Cooked,None,Vegetarian,None,"Flavorful, Comforting",None
Kongunadu Cucumber Juice Recipe - Spicy & Tangy,Indian,Beverage,"Refreshing, Spicy",Juiced,Spicy,Vegetarian,None,"Refreshing, Spicy",None
Tonji Eggplant Juice,Indian,Beverage,"Nutrient-rich, Spicy",Juiced,Spicy,Vegetarian,None,"Nutrient-rich, Spicy",None
Beetroot Poriyal (Recipe In Hindi),Indian,Side Dish,"Nutrient-rich, Flavorful",Cooked,Spicy,Vegetarian,None,Flavorful,None
Tomato Onion Chutney Recipe - Tomato Onion Chutney Recipe,Indian,Condiment,"Tangy, Spicy",Mixed,Spicy,Vegetarian,None,"Tangy, Spicy",None
Saffron Peda Recipe,Indian,Dessert,"Sweet, Fragrant",Cooked,None,Vegetarian,Dairy,"Sweet, Fragrant",None
Mushroom Methi Brown Rice Recipe,Indian,Main Dish,"Nutrient-rich, Flavorful",Cooked,None,Vegetarian,None,"Flavorful, Nutrient-rich",None
South Indian Onion Chutney Recipe,Indian,Condiment,"Spicy, Tangy",Mixed,Spicy,Vegetarian,None,"Spicy, Tangy",None
The Paruppu Podi Recipe - South Indian Spiced Dal Chutney Powder,Indian,Condiment,"Spicy, Aromatic",Mixed,Spicy,Vegetarian,None,"Spicy, Aromatic",None
Ruote Pasta & Eggplant Gratin Recipe,Italian,Main Dish,"Creamy, Flavorful",Baked,None,Vegetarian,Dairy,"Creamy, Flavorful",None
Barnyard Millet Bisi Bele Bath Recipe,Indian,Main Dish,"Spicy, Comforting",Cooked,Spicy,Vegetarian,None,"Spicy, Comforting",None
Maharashtrian Aunty Recipe,Indian,Main Dish,"Flavorful, Traditional",Cooked,Spicy,Vegetarian,None,"Flavorful, Traditional",None
Onion Bajji Recipe - Vengaya Bajji/ South Indian Onion Pakora,Indian,Snack,"Crunchy, Spicy",Fried,Spicy,Vegetarian,None,"Crunchy, Spicy",None
Porridge Bread Recipe,Western,Breakfast,"Nutrient-rich, Filling",Baked,None,Vegetarian,None,"Nutty, Filling",None
Foxtail Millet Rava Idli Recipe,Indian,Breakfast,"Nutrient-rich, Steamed",Steamed,None,Vegetarian,None,"Nutty, Steamed",None
Besan Oats Ladoo Recipe,Indian,Dessert,"Sweet, Nutty",Mixed,None,Vegetarian,Nuts,"Sweet, Nutty",None
Ada Pradhaman Recipe With Homemade Ada- Kerala Special Payasam Recipe,Indian,Dessert,"Rich, Creamy",Cooked,None,Vegetarian,Dairy,"Rich, Creamy",None
Spicy Pickled Paneer Gravy (Recipe In Hindi),Indian,Main Dish,"Spicy, Tangy",Cooked,Spicy,Vegetarian,Dairy,"Spicy, Tangy",None
Grilled Herring With Kasundi Mustard And Wild Celery Recipe,Western,Main Dish,"Tangy, Savory",Grilled,None,Non-Veg,None,"Tangy, Savory",None
Creamy Coconut Poached Pears Recipe,Western,Dessert,"Creamy, Sweet",Cooked,None,Vegetarian,Dairy,"Creamy, Sweet",None
Mutton Dak Bungalow Curry Recipe,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Non-Veg,None,"Spicy, Flavorful",None
French Brioche Recipe (Savoury Version),French,Bread,"Buttery, Savory",Baked,None,Vegetarian,Dairy,"Buttery, Savory",None
Karnataka Style Avarekalu Huli Saru Recipe (Field Beans in a Coconut based Gravy Recipe),Indian,Main Dish,"Flavorful, Nutrient-rich",Cooked,Spicy,Vegetarian,None,"Flavorful, Nutrient-rich",None
Spicy Mexican Salsa Verde Recipe - Green Tomato Salsa,Mexican,Condiment,"Spicy, Tangy",Mixed,Spicy,Vegetarian,None,"Spicy, Tangy",None
Gobhi Ke Kofte Recipe,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Jerk Chicken With Rice And Peas Pilaf Recipe,Caribbean,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Tomato Basil Pasta And Pizza Sauce Recipe,Italian,Condiment,"Tangy, Flavorful",Mixed,None,Vegetarian,None,"Tangy, Flavorful",None
Matar Keema Recipe,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Foxtail Millet Pilaf Recipe,Indian,Main Dish,"Flavorful, Nutrient-rich",Cooked,None,Vegetarian,None,"Flavorful, Nutrient-rich",None
Sindhi Kadhi (Recipe In Hindi),Indian,Main Dish,"Tangy, Spicy",Cooked,Spicy,Vegetarian,None,"Tangy, Spicy",None
Togarikaayi Usli Recipe,Indian,Side Dish,"Nutrient-rich, Flavorful",Cooked,None,Vegetarian,None,"Flavorful, Nutrient-rich",None
Kothavarangai Poriyal Recipe - South Indian Style Cluster Beans Sabzi,Indian,Side Dish,"Flavorful, Nutrient-rich",Cooked,None,Vegetarian,None,"Flavorful, Nutrient-rich",None
Kachcha Kela Masala Sabzi Recipe (Raw Banana with Tomatoes & Spices),Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Goan Molyacho Ross Recipe - Goan Moolyacho Ross,Goan,Main Dish,"Tangy, Flavorful",Cooked,Spicy,Vegetarian,None,"Tangy, Flavorful",None
Coconut Chia Pudding Recipe,Western,Dessert,"Creamy, Nutty",Mixed,None,Vegetarian,Dairy,"Creamy, Nutty",None
Paneer Frankie Recipe - Delicious Kid Friendly Snack,Indian,Snack,"Flavorful, Spicy",Mixed,Spicy,Vegetarian,Dairy,"Flavorful, Spicy",None
Beetroot Paneer Curry Recipe In Coconut Milk - Beet Paneer Curry Recipe,Indian,Main Dish,"Flavorful, Creamy",Cooked,Spicy,Vegetarian,Dairy,"Flavorful, Creamy",None
Rajasthani Gatte Ka Pulao Recipe,Indian,Main Dish,"Flavorful, Spicy",Cooked,Spicy,Vegetarian,None,"Flavorful, Spicy",None
Paneer Kofta Curry Recipe - Paneer Kofta Curry Recipe,Indian,Main Dish,"Flavorful, Creamy",Cooked,Spicy,Vegetarian,Dairy,"Flavorful, Creamy",None
Chia Seeds Shikanji Recipe,Indian,Beverage,"Tangy, Refreshing",Mixed,None,Vegetarian,None,"Tangy, Refreshing",None
Spiced Coconut Oatmeal With Assorted Fruits Recipe,Western,Breakfast,"Spiced, Fruity",Cooked,None,Vegetarian,None,"Spiced, Fruity",None
Carrot And Capsicum Rice Recipe,Indian,Main Dish,"Flavorful, Nutrient-rich",Cooked,None,Vegetarian,None,"Flavorful, Nutrient-rich",None
South Indian One Pot Sambar Rice Recipe,Indian,Main Dish,"Flavorful, Comforting",Cooked,Spicy,Vegetarian,None,"Flavorful, Comforting",None
Pineapple and Dill Granita Recipe,Western,Dessert,"Refreshing, Tangy",Frozen,None,Vegetarian,None,"Refreshing, Tangy",None
Spicy Lemon Chilli Paneer Tart With Curry Leaves Recipe,Indian,Dessert,"Spicy, Tangy",Baked,Spicy,Vegetarian,Dairy,"Spicy, Tangy",None
Bajri Roti Recipe,Indian,Bread,"Nutrient-rich, Gluten-free",Baked,None,Vegetarian,None,"Nutrient-rich, Gluten-free",None
Chinese style Black Sesame Nai Huang Bao Recipe (Steamed Custard Buns),Chinese,Dessert,"Sweet, Soft",Steamed,None,Vegetarian,None,"Sweet, Soft",None
Kesar Shrikhand Recipe - Greek Yogurt Pudding With Saffron,Indian,Dessert,"Creamy, Fragrant",Mixed,None,Vegetarian,Dairy,"Creamy, Fragrant",None
Matki Chi Usal Recipe - Spicy Moth Sprouted Salad,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Egg Korma Recipe,Indian,Main Dish,"Flavorful, Creamy",Cooked,Spicy,Non-Veg,None,"Flavorful, Creamy",None
Raw Tomato Chutney Recipe - Raw Tomato Chutney (Recipe In Hindi),Indian,Condiment,"Tangy, Spicy",Mixed,Spicy,Vegetarian,None,"Tangy, Spicy",None
Broccoli Rava Idli Recipe,Indian,Breakfast,"Nutrient-rich, Steamed",Steamed,None,Vegetarian,None,"Nutrient-rich, Steamed",None
Mushroom & Goat Cheese Omelette with Spinach Recipe,Continental,Breakfast,"Protein-rich, Nutrient-packed",Pan-cooked,None,Vegetarian,Dairy,"Savory, Earthy",None
Caramel Folded Plum Cake Recipe,Western,Dessert,"Sweet, Indulgent",Baked,None,Vegetarian,Dairy,"Sweet, Fruity",None
Chole Capsicum Masala Recipe,Indian,Main Dish,"Flavorful, Spicy",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Chocolate Ganache Tart Recipe,Western,Dessert,"Rich, Decadent",Baked,None,Vegetarian,Dairy,"Rich, Chocolatey",None
Konkani Style Mooga Ghushi Recipe-Sprouted Whole Green Gram In Tangy Coconut Gravy,Indian,Main Dish,"Tangy, Flavorful",Cooked,Spicy,Vegetarian,None,"Tangy, Flavorful",None
Thai Flavoured Vegetable Noodles In Coconut Curry Recipe,Thai,Main Dish,"Fragrant, Creamy",Cooked,Spicy,Vegetarian,None,"Fragrant, Creamy",None
Mambazha Pulissery Recipe - Mango Mor Kuzhambu Recipe,Indian,Main Dish,"Tangy, Sweet",Cooked,Spicy,Vegetarian,Dairy,"Tangy, Sweet",None
Mangalorean Style Sonay Sukka Recipe - Dry Chickpea Stir Fry,Indian,Main Dish,"Spicy, Flavorful",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Masala Mixed Sprouts Sandwich Recipe,Indian,Snack,"Protein-rich, Flavorful",Assembled,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Sindhi Kuneh Ja Bhee Recipe (Lotus Stem Chaat),Indian,Snack,"Tangy, Spicy",Cooked,Spicy,Vegetarian,None,"Tangy, Spicy",None
Eggless Whole wheat And Orange Almond Cake Recipe,Western,Dessert,"Nutty, Citrusy",Baked,None,Vegetarian,Nuts,"Nutty, Citrusy",None
"Beetroot, Sweet Potato And Oatmeal Cutlet Recipe",Indian,Snack,"Nutrient-rich, Flavorful",Pan-fried,Spicy,Vegetarian,None,"Flavorful, Nutrient-rich",None
Punjabi Lobia Masala Recipe (Punjabi Style Black Eyed Beans Curry),Indian,Main Dish,"Protein-rich, Flavorful",Cooked,Spicy,Vegetarian,None,"Flavorful, Spicy",None
Delmonte Beetballs Pasta Recipe,Italian,Main Dish,"Flavorful, Colorful",Cooked,Spicy,Vegetarian,None,"Flavorful, Colorful",None
Chicken Teriyaki Rice Bowl Recipe,Japanese,Main Dish,"Sweet, Savory",Cooked,Spicy,Non-Veg,None,"Sweet, Savory",None
Strawberry Smoothie Bowl with chia seeds and Muesli Recipe,Western,Breakfast,"Refreshing, Nutrient-rich",Assembled,None,Vegetarian,None,"Refreshing, Nutrient-rich",None
Oven Roasted Peaches And Cream Recipe,Western,Dessert,"Sweet, Creamy",Baked,None,Vegetarian,Dairy,"Sweet, Creamy",None
